iter	Passed	Remaining
382	1440	2321
383	1444	2317
384	1448	2313
385	1452	2309
386	1455	2305
387	1459	2301
388	1462	2297
389	1466	2293
390	1469	2289
391	1473	2285
392	1476	2281
393	1480	2276
394	1483	2272
395	1487	2268
396	1491	2264
397	1494	2261
398	1498	2256
399	1501	2252
400	1505	2248
401	1509	2244
402	1512	2240
403	1516	2236
404	1519	2232
405	1523	2228
406	1526	2224
407	1530	2220
408	1533	2216
409	1537	2212
410	1541	2208
411	1544	2204
412	1548	2200
413	1552	2197
414	1556	2193
415	1560	2190
416	1564	2186
417	1567	2183
418	1572	2180
419	1575	2176
420	1579	2172
421	1583	2168
422	1586	2164
423	1590	2160
424	1593	2156
425	1597	2152
426	1600	2148
427	1604	2144
428	1607	2139
429	1611	2135
430	1614	2131
431	1617	2127
432	1621	2122
433	1624	2118
434	1627	2114
435	1631	2109
436	1634	2105
437	1637	2101
438	1641	2097
439	1644	2093
440	1648	2089
441	1651	2084
442	1654	2080
443	1658	2076
444	1661	2072
445	1664	2067
446	1668	2064
447	1672	2060
448	1675	2056
449	1678	2051
450	1682	2047
451	1685	2043
452	1688	2038
453	1691	2034
454	1695	2030
455	1698	2026
456	1701	2021
457	1704	2017
458	1707	2013
459	1711	2008
460	1714	2004
461	1717	2000
462	1721	1996
463	1724	1992
464	1727	1988
465	1731	1983
466	1734	1979
467	1738	1975
468	1741	1971
469	1744	1967
470	1747	1963
471	1751	1958
472	1754	1955
473	1758	1951
474	1761	1947
475	1765	1943
476	1769	1940
477	1773	1936
478	1776	1932
479	1780	1928
480	1783	1924
481	1787	1920
482	1790	1916
483	1794	1912
484	1797	1908
485	1801	1904
486	1804	1900
487	1808	1897
488	1811	1893
489	1815	1889
490	1818	1885
491	1822	1881
492	1825	1877
493	1829	1873
494	1832	1869
495	1835	1865
496	1839	1861
497	1842	1857
498	1845	1853
499	1849	1849
500	1853	1845
501	1856	1841
502	1860	1837
503	1863	1834
504	1866	1830
505	1870	1825
506	1873	1821
507	1876	1817
508	1880	1813
509	1883	1809
510	1886	1805
511	1890	1801
512	1893	1797
513	1896	1793
514	1899	1789
515	1903	1785
516	1906	1781
517	1910	1777
518	1913	1773
519	1916	1769
520	1919	1765
521	1923	1761
522	1926	1757
523	1929	1753
524	1932	1748
525	1936	1744
526	1939	1740
527	1942	1736
528	1946	1732
529	1949	1728
530	1952	1724
531	1955	1720
532	1959	1716
533	1962	1712
534	1965	1708
535	1969	1704
536	1972	1700
537	1975	1696
538	1979	1692
539	1982	1688
540	1985	1684
541	1988	1680
542	1992	1676
543	1995	1672
544	1999	1669
545	2002	1665
546	2006	1661
547	2010	1657
548	2013	1653
549	2016	1649
550	2019	1645
551	2023	1642
552	2026	1638
553	2029	1634
554	2033	1630
555	2036	1626
556	2039	1622
557	2043	1618
558	2046	1614
559	2049	1610
560	2052	1606
561	2056	1602
562	2059	1598
563	2063	1594
564	2066	1591
565	2069	1587
566	2073	1583
567	2076	1579
568	2079	1575
569	2083	1571
570	2086	1567
571	2089	1563
572	2092	1559
573	2096	1555
574	2099	1551
575	2102	1547
576	2106	1543
577	2109	1540
578	2112	1536
579	2116	1532
580	2119	1528
581	2123	1525
582	2126	1521
583	2130	1517
584	2133	1513
585	2137	1510
586	2141	1506
587	2144	1502
588	2148	1498
589	2151	1495
590	2155	1491
591	2158	1487
592	2162	1484
593	2166	1480
594	2169	1476
595	2173	1473
596	2176	1469
597	2179	1465
598	2183	1461
599	2186	1457
600	2189	1453
601	2192	1449
602	2196	1445
603	2199	1442
604	2202	1438
605	2206	1434
606	2209	1430
607	2212	1426
608	2216	1422
609	2219	1419
610	2222	1415
611	2225	1411
612	2229	1407
613	2232	1403
614	2235	1399
615	2239	1395
616	2242	1392
617	2246	1388
618	2249	1384
619	2253	1380
620	2256	1377
621	2259	1373
622	2263	1369
623	2266	1365
624	2269	1361
625	2273	1358
626	2276	1354
627	2279	1350
628	2283	1346
629	2286	1343
630	2290	1339
631	2293	1335
632	2296	1331
633	2299	1327
634	2302	1323
635	2306	1319
636	2309	1315
637	2312	1312
638	2316	1308
639	2319	1304
640	2322	1300
641	2325	1297
642	2329	1293
643	2332	1289
644	2335	1285
645	2339	1281
646	2342	1277
647	2345	1274
648	2349	1270
649	2353	1267
650	2356	1263
651	2359	1259
652	2363	1255
653	2366	1252
654	2370	1248
655	2373	1244
656	2377	1240
657	2380	1237
658	2383	1233
659	2386	1229
660	2389	1225
661	2393	1221
662	2396	1218
663	2399	1214
664	2403	1210
665	2406	1206
666	2409	1203
667	2413	1199
668	2416	1195
669	2419	1191
670	2423	1188
671	2426	1184
672	2430	1180
673	2433	1177
674	2436	1173
675	2440	1169
676	2443	1165
677	2446	1161
678	2449	1158
679	2453	1154
680	2456	1150
681	2459	1146
682	2462	1142
683	2465	1139
684	2469	1135
685	2472	1131
686	2475	1127
687	2478	1124
688	2482	1120
689	2485	1116
690	2488	1112
691	2491	1108
692	2494	1105
693	2498	1101
694	2501	1097
695	2504	1094
696	2508	1090
697	2511	1086
698	2514	1082
699	2518	1079
700	2521	1075
701	2524	1071
702	2528	1068
703	2531	1064
704	2534	1060
705	2537	1056
706	2541	1053
707	2544	1049
708	2548	1045
709	2551	1042
710	2554	1038
711	2557	1034
712	2561	1030
713	2564	1027
714	2567	1023
715	2571	1020
716	2575	1016
717	2578	1012
718	2581	1009
719	2585	1005
720	2589	1001
721	2592	998
722	2596	994
723	2600	991
724	2603	987
725	2606	983
726	2609	980
727	2613	976
728	2616	972
729	2620	969
730	2623	965
731	2626	961
732	2630	958
733	2633	954
734	2637	950
735	2640	947
736	2644	943
737	2647	939
738	2650	936
739	2654	932
740	2657	928
741	2661	925
742	2665	921
743	2669	918
744	2672	914
745	2676	911
746	2679	907
747	2683	903
748	2686	900
749	2690	896
750	2693	893
751	2696	889
752	2700	885
753	2703	882
754	2707	878
755	2710	874
756	2714	871
757	2717	867
758	2721	864
759	2725	860
760	2728	856
761	2731	853
762	2734	849
763	2738	845
764	2741	842
765	2744	838
766	2748	834
767	2751	831
768	2755	827
769	2758	823
770	2761	820
771	2765	816
772	2768	813
773	2772	809
774	2775	805
775	2779	802
776	2782	798
777	2786	794
778	2789	791
779	2793	787
780	2796	784
781	2799	780
782	2803	776
783	2806	773
784	2810	769
785	2813	766
786	2817	762
787	2820	758
788	2823	755
789	2827	751
790	2830	747
791	2833	744
792	2837	740
793	2840	736
794	2844	733
795	2847	729
796	2851	726
797	2854	722
798	2858	719
799	2862	715
800	2865	712
801	2869	708
802	2873	704
803	2876	701
804	2880	697
805	2884	694
806	2887	690
807	2890	686
808	2893	683
809	2897	679
810	2900	675
811	2904	672
812	2907	668
813	2911	665
814	2915	661
815	2918	658
816	2922	654
817	2925	650
818	2928	647
819	2932	643
820	2935	639
821	2938	636
822	2942	632
823	2945	629
824	2950	625
825	2953	622
826	2956	618
827	2959	614
828	2963	611
829	2966	607
830	2970	604
831	2973	600
832	2977	596
833	2980	593
834	2983	589
835	2986	585
836	2990	582
837	2993	578
838	2997	575
839	3000	571
840	3003	567
841	3007	564
842	3010	560
843	3014	557
844	3017	553
845	3021	549
846	3024	546
847	3028	542
848	3031	539
849	3035	535
850	3038	532
851	3042	528
852	3045	524
853	3049	521
854	3052	517
855	3056	514
856	3059	510
857	3063	506
858	3066	503
859	3069	499
860	3073	496
861	3076	492
862	3080	488
863	3083	485
864	3086	481
865	3090	478
866	3093	474
867	3096	470
868	3100	467
869	3104	463
870	3107	460
871	3111	456
872	3114	453
873	3118	449
874	3122	446
875	3126	442
876	3129	438
877	3133	435
878	3136	431
879	3140	428
880	3143	424
881	3147	421
882	3150	417
883	3153	413
884	3157	410
885	3160	406
886	3163	403
887	3166	399
888	3169	395
889	3172	392
890	3175	388
891	3179	384
892	3182	381
893	3185	377
894	3189	374
895	3192	370
896	3195	366
897	3198	363
898	3202	359
899	3205	356
900	3208	352
901	3212	349
902	3215	345
903	3219	341
904	3223	338
905	3227	334
906	3230	331
907	3234	327
908	3237	324
909	3241	320
910	3244	317
911	3248	313
912	3252	309
913	3255	306
914	3259	302
915	3263	299
916	3266	295
917	3270	292
918	3273	288
919	3277	284
920	3280	281
921	3283	277
922	3287	274
923	3290	270
924	3294	267
925	3297	263
926	3301	259
927	3304	256
928	3307	252
929	3311	249
930	3314	245
931	3318	242
932	3322	238
933	3325	235
934	3329	231
935	3332	227
936	3336	224
937	3340	220
938	3344	217
939	3348	213
940	3352	210
941	3355	206
942	3359	203
943	3363	199
944	3366	195
945	3370	192
946	3374	188
947	3377	185
948	3381	181
949	3384	178
950	3388	174
951	3392	171
952	3395	167
953	3399	163
954	3403	160
955	3406	156
956	3410	153
957	3413	149
958	3417	146
959	3421	142
960	3424	138
961	3428	135
962	3431	131
963	3435	128
964	3438	124
965	3442	121
966	3445	117
967	3449	114
968	3453	110
969	3456	106
970	3460	103
971	3463	99
972	3467	96
973	3470	92
974	3474	89
975	3477	85
976	3481	81
977	3484	78
978	3488	74
979	3492	71
980	3496	67
981	3499	64
982	3503	60
983	3507	57
984	3511	53
985	3514	49
986	3517	46
987	3521	42
988	3524	39
989	3527	35
990	3531	32
991	3534	28
992	3538	24
993	3541	21
994	3544	17
995	3548	14
996	3551	10
997	3555	7
998	3558	3
999	3561	0
